,output,equation_number,eqn,soln
0,HIT te0 w/ (lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)) ; log prior = -3.790670 ; log likelihood = 0.000000,0,(= (/ (1) (2)) (x)),(lambda (#(lambda (_swap $0 0)) $0))
52,HIT te125 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) $0)) ; log prior = -4.580832 ; log likelihood = 0.000000,125,(= (-1) (+ (/ (2) (x)) (-3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) $0))
53,HIT te127 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) (mathDomain_mult $0 mathDomain_6))) ; log prior = -9.895613 ; log likelihood = 0.000000,127,(= (1) (/ (* (2) (x)) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) (_mult $0 6)))
54,HIT te129 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -3.189158 ; log likelihood = 0.000000,129,(= (1) (- (* (2) (x)) (* (3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
55,HIT te130 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -3.927022 ; log likelihood = 0.000000,130,(= (1) (+ (-2) (/ (-3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
56,HIT te131 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_add $0 mathDomain_3))) $0))) ; log prior = -6.074019 ; log likelihood = 0.000000,131,(= (- (1) (* (2) (x))) (* (-3) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_add $0 3))) $0)))
57,HIT te132 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -4.333497 ; log likelihood = 0.000000,132,(= (+ (1) (/ (-2) (x))) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
58,HIT te133 w/ (lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0)) ; log prior = -3.937130 ; log likelihood = 0.000000,133,(= (x) (/ (+ (1) (2)) (3))),(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))
59,HIT te135 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -3.522582 ; log likelihood = 0.000000,135,(= (+ (1) (/ (2) (x))) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
60,HIT te145 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) ; log prior = -8.105500 ; log likelihood = 0.000000,145,(= (+ (/ (1) (x)) (-2)) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (_swap $0 2)) $0)))
61,HIT te147 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_add $0 mathDomain_3))) $0))) ; log prior = -5.979327 ; log likelihood = 0.000000,147,(= (- (-1) (* (2) (x))) (* (-3) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_add $0 3))) $0)))
62,HIT te149 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -3.519206 ; log likelihood = 0.000000,149,(= (+ (-1) (/ (-2) (x))) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
63,HIT te153 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) $0)) ; log prior = -4.445614 ; log likelihood = 0.000000,153,(= (* (-1) (x)) (+ (-2) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) $0))
64,HIT te155 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -3.035095 ; log likelihood = 0.000000,155,(= (-1) (+ (* (-2) (x)) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
65,HIT te158 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) $0)) ; log prior = -4.677051 ; log likelihood = 0.000000,158,(= (-1) (+ (/ (-2) (x)) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) $0))
